,Before (test_4),After (test_5)
957,65g ½oz caster sugar,caster sugar
958,400g strawberries,strawberries
959,orange,orange
960,200ml fl whipping cream,cream
961,50g ½oz caster sugar,caster sugar
962,110ml fl chartreuse,110ml fl chartreuse
963,ounces,ounces
964,olive oil,olive oil
965,butter,butter
966,medium onion,onion
967,panko breadcrumbs,breadcrumbs
968,salt and black pepper to taste,black pepper
969,ounces,ounces
970,sour cream,sour cream
971,grated sharp cheddar cheese,cheddar cheese
972,grated monterey jack or farmer's cheese,monterey jack
973,(small) chopped spinach,spinach
974,hot sauce (i used choulula),sauce
