,Unnamed: 0,Before (test_4),After (test_5),Test_6
660,660,vegetable oil for cooking,vegetable oil,vegetable oil
661,661,for the dipping sauce,sauce,sauce
662,662,low-sodium soy sauce,soy sauce,soy sauce
663,663,water,water,water
664,664,tb. rice vinegar,vinegar,vinegar
665,665,tb. sugar,sugar,sugar
666,666,tb. sesame oil,sesame oil,sesame oil
667,667,minced garlic,garlic,garlic
668,668,tsp. sesame seeds,sesame seeds,sesame seeds
669,669,tsp. crushed red pepper,red pepper,red pepper
670,670,butter,butter,butter
671,671,garlic,garlic,garlic
672,672,bags baby spinach,spinach,spinach
673,673,artichoke hearts,artichoke,artichoke
674,674,flour,flour,flour
675,675,milk,milk,milk
676,676,cayenne pepper,cayenne pepper,cayenne pepper
677,677,salt and pepper,pepper,pepper
678,678,grated parmesan cheese,parmesan,parmesan
679,679,mozzarella or monterey jack cheese,monterey jack,monterey jack
680,680,low sodium chicken broth (less or more),chicken,chicken
681,681,ounces,ounces,ounces
682,682,seasoned panko breadcrumbs,breadcrumbs,breadcrumbs
683,683,crushed red pepper,red pepper,red pepper
684,684,fresh basil leaves,basil,basil
685,685,grated parmesan cheese,parmesan,parmesan
686,686,pine nuts,pine nuts,pine nuts
687,687,garlic,garlic,garlic
688,688,salt and pepper,pepper,pepper
689,689,extra virgin olive oil,olive oil,olive oil
690,690,heavy cream,cream,cream
691,691,butter,butter,butter
692,692,grated parmesan (additional),parmesan,parmesan
693,693,ounces,ounces,ounces
694,694,tomatoes,tomatoes,tomatoes
695,695,hot water,water,water
696,696,packet dry active yeast,yeast,yeast
697,697,tsp. honey,honey,honey
698,698,cold water,water,water
699,699,tb. olive oil + extra for the bowl and pan,olive oil,olive oil
700,700,tsp. celtic sea salt,salt,salt
701,701,tb. roasted garlic,garlic,garlic
702,702,all-purpose flour,all-purpose flour,all-purpose flour
703,703,pitted kalamata olives,kalamata olives,kalamata olives
704,704,salt and pepper,pepper,pepper
705,705,(packed) light brown sugar,brown sugar,brown sugar
706,706,golden raisins,raisins,raisins
707,707,red wine vinegar,red wine vinegar,red wine vinegar
708,708,finely chopped crystallized ginger,ginger,ginger
709,709,drained capers,drained capers,drained capers
710,710,of crushed red pepper flakes,red pepper,red pepper
711,711,of freshly ground black pepper,black pepper,black pepper
712,712,rhubarb,rhubarb,rhubarb
713,713,unsalted butter,butter,butter
714,714,sugar,sugar,sugar
715,715,pure vanilla extract,vanilla,vanilla
716,716,crushed potato chips,potato,potato
717,717,all-purpose flour,all-purpose flour,all-purpose flour
718,718,oz. chopped chocolate,chocolate,chocolate
719,719,garlic,garlic,garlic
720,720,medium onion,onion,onion
721,721,ounce) cans great norther beans,ounce) cans great norther beans,cans great norther beans
722,722,olive oil,olive oil,olive oil
723,723,red pepper flakes,red pepper,red pepper
724,724,dried oregano,oregano,oregano
725,725,tomato paste,tomato,tomato
726,726,dry white wine,white wine,white wine
727,727,ounces) or diced tomatoes,tomatoes,tomatoes
728,728,low sodium chicken broth,chicken,chicken
729,729,kale (more if desired),kale (more if desired),kale
730,730,plenty of torn fresh basil,basil,basil
731,731,butter,butter,butter
732,732,raw shrimp,raw shrimp,raw shrimp
733,733,chopped fresh parsley,parsley,parsley
734,734,fresh parmesan shavings,parmesan,parmesan
735,735,sweet potatoes (about pounds),potatoes,potatoes
736,736,vegetable oil,vegetable oil,vegetable oil
737,737,kosher salt,salt,salt
738,738,mayonnaise,mayonnaise,mayonnaise
739,739,finely grated lime zest,lime,lime
740,740,fresh lime juice,lime juice,lime juice
741,741,chopped fresh cilantro (for serving),chopped fresh cilantro (for serving),chopped fresh cilantro
742,742,everything bagels,bagels,bagels
743,743,butter,butter,butter
744,744,ounces,ounces,ounces
745,745,pesto (basil or sun-dried tomato),sun-dried tomato,sun-dried tomato
746,746,ground turkey,turkey,turkey
747,747,kosher salt (more to taste),salt,salt
748,748,plenty of black pepper,black pepper,black pepper
749,749,worcestershire sauce,worcestershire sauce,worcestershire sauce
750,750,hot sauce (more to taste),sauce,sauce
751,751,egg yolk (optional),egg,egg
752,752,canola oil,canola oil,canola oil
753,753,butter,butter,butter
754,754,roma tomatoes,tomatoes,tomatoes
755,755,avocados,avocados,avocados
756,756,large basil leaves,basil,basil
757,757,yukon gold potatoes ),potatoes,potatoes
758,758,kosher salt plus more,salt,salt
759,759,olive oil,olive oil,olive oil
760,760,medium onion,onion,onion
761,761,large eggs,eggs,eggs
762,762,russet potatoes,potatoes,potatoes
763,763,vegetable or peanut oil for frying,peanut,peanut
764,764,sea salt,salt,salt
765,765,#NAME?,green,green
766,766,oz. of large pearl tapioca,tapioca,tapioca
767,767,gummy worms,gummy worms,gummy worms
768,768,plastic or candy spiders (if plastic,candy,candy
769,769,olive oil,olive oil,olive oil
770,770,brown mustard seeds,mustard seeds,mustard seeds
771,771,large shallots,shallots,shallots
772,772,kosher salt,salt,salt
773,773,brussels sprouts,brussels sprouts,brussels sprouts
774,774,fresh lemon juice,lemon juice,lemon juice
775,775,walnuts,walnuts,walnuts
776,776,ounces,ounces,ounces
777,777,apples,apples,apples
778,778,pecan halves,pecan,pecan
779,779,dried cherries,cherries,cherries
780,780,ounces,ounces,ounces
781,781,(heaping) dijon mustard,dijon mustard,dijon mustard
782,782,maple syrup (more to taste),maple syrup,maple syrup
783,783,apple cider vinegar (more to taste),vinegar,vinegar
784,784,olive oil,olive oil,olive oil
785,785,salt and pepper,pepper,pepper
786,786,soba (japanese-style) noodles,noodles,noodles
787,787,kosher salt,salt,salt
788,788,vegetable oil,vegetable oil,vegetable oil
789,789,scallions,scallions,scallions
790,790,jalapeño,jalapeño,jalapeo
791,791,""" piece of ginger",ginger,ginger
792,792,manila clams,clams,clams
793,793,dry sake,sake,sake
794,794,soba noodles are available at asian markets and in the asian foods section of most supermarkets.,noodles,noodles
795,795,lb. turkey,turkey,turkey
796,796,cooking oil,oil,oil
797,797,bottle butterball garlic and herb turkey marinade,turkey,turkey
798,798,butterball garlic and herb turkey seasoning,turkey,turkey
799,799,large scallops,scallops,scallops
800,800,bacon,bacon,bacon
801,801,butter,butter,butter
802,802,chili powder,chili powder,chili powder
803,803,of cayenne,of cayenne,cayenne
804,804,finely chopped fresh cilantro,finely chopped fresh cilantro,finely chopped fresh cilantro
805,805,olive oil,olive oil,olive oil
806,806,ground cumin,cumin,cumin
807,807,paprika,paprika,paprika
808,808,kosher salt,salt,salt
809,809,juice of lime,juice,juice
810,810,small garlic clove,garlic,garlic
811,811,#NAME?,#NAME?,oz. mahi-mahi fillets
812,812,large crisp apples,apples,apples
813,813,belgian endive,endive,endive
814,814,scallion,scallion,scallion
815,815,dried cherries,cherries,cherries
816,816,pomegranate arils,pomegranate,pomegranate
817,817,toasted pecan pieces,pecan,pecan
818,818,chopped crystallized ginger,ginger,ginger
819,819,light mayonnaise,mayonnaise,mayonnaise
820,820,meyer lemon,lemon,lemon
821,821,tsp. honey,honey,honey
822,822,tb. fresh thyme leaves,thyme,thyme
823,823,salt and pepper,pepper,pepper
824,824,lettuce or cabbage leaves to serve,cabbage,cabbage
825,825,shortening (may substitute butter),butter,butter
826,826,sugar,sugar,sugar
827,827,orange zest,orange,orange
828,828,vanilla,vanilla,vanilla
829,829,eggs,eggs,eggs
830,830,milk,milk,milk
831,831,all-purpose flour,all-purpose flour,all-purpose flour
832,832,baking powder,baking powder,baking powder
833,833,salt,salt,salt
834,834,jars each) marshmallow creme,marshmallow,marshmallow
835,835,each) cream cheese,cheese,cheese
836,836,peaches,peaches,peaches
837,837,kiwi fruit,kiwi fruit,kiwi fruit
838,838,blueberries,blueberries,blueberries
839,839,pears,pears,pears
840,840,raspberries,raspberries,raspberries
841,841,other fruit optional,fruit,fruit
842,842,black rice (preferably lotus foods forbidden rice),rice,rice
843,843,kosher salt,salt,salt
844,844,chopped dried apricots (preferably california apricots),apricots,apricots
845,845,chopped toasted almonds,almonds,almonds
846,846,200ml fl mayonnaise,mayonnaise,mayonnaise
847,847,capers,capers,capers
848,848,gherkins,gherkins,gherkins
849,849,small shallot,shallot,shallot
850,850,squeeze of lemon juice,lemon juice,lemon juice
851,851,chopped fresh parsley,parsley,parsley
852,852,flaked sea salt and freshly ground black pepper,black pepper,black pepper
853,853,baguette,baguette,baguette
854,854,oz. brie,brie,brie
855,855,golden raisins,raisins,raisins
856,856,(about cup) toasted pine nuts,pine nuts,pine nuts
857,857,basil,basil,basil
858,858,zest of lemon,lemon,lemon
859,859,salt and pepper,pepper,pepper
860,860,small shallot,shallot,shallot
861,861,anchovy fillet packed in oil,anchovy,anchovy
862,862,olive oil,olive oil,olive oil
863,863,sherry vinegar,vinegar,vinegar
864,864,dijon mustard,dijon mustard,dijon mustard
865,865,kosher salt,salt,salt
866,866,of freshly ground black pepper,black pepper,black pepper
867,867,head escarole,head escarole,head escarole
868,868,chopped toasted almonds,almonds,almonds
869,869,eggs,eggs,eggs
870,870,and half (or milk,milk,milk
871,871,salt and pepper,pepper,pepper
872,872,minced fresh oregano (or parsley,parsley,parsley
873,873,crusty french or italian bread,bread,bread
874,874,breakfast sausage patties,sausage,sausage
875,875,(large) regular kale,(large) regular kale,regular kale
876,876,olive oil,olive oil,olive oil
877,877,ounces,ounces,ounces
878,878,grated monterey jack cheese,monterey jack,monterey jack
879,879,oranges,oranges,oranges
880,880,100g ½oz raisins,raisins,raisins
881,881,a lemon,lemon,lemon
882,882,200g unsalted butter,butter,butter
883,883,100g ½oz golden syrup,golden syrup,golden syrup
884,884,100g ½oz soft brown sugar,brown sugar,brown sugar
885,885,rum,rum,rum
886,886,250g jumbo oats,250g jumbo oats,250g jumbo oats
887,887,100g ½oz plain flour,flour,flour
888,888,100g ½oz pine nuts,pine nuts,pine nuts
889,889,olive oil,olive oil,olive oil
890,890,medium carrots,carrots,carrots
891,891,medium celery root,celery,celery
892,892,medium onion,onion,onion
893,893,kosher salt plus more for seasoning,salt,salt
894,894,french green lentils,lentils,lentils
895,895,#NAME?,salmon,salmon
896,896,kosher salt,salt,salt
897,897,olive oil,olive oil,olive oil
898,898,french green lentils are available at specialty foods stores and some supermarkets.,lentils,lentils
899,899,80g ¾oz fresh coriander,coriander,coriander
900,900,20g/¾oz fresh mint,mint,mint
901,901,garlic,garlic,garlic
902,902,cm in piece fresh ginger,ginger,ginger
903,903,small onion,onion,onion
904,904,green chillies,chillies,chillies
905,905,raw pistachio,pistachio,pistachio
906,906,lemon juice,lemon juice,lemon juice
907,907,,,nan
908,908,water,water,water
909,909,canola oil,canola oil,canola oil
910,910,butter,butter,butter
911,911,stew meat or diced chuck roast,meat,meat
912,912,ounces) chipotle peppers in adobo sauce,chipotle,chipotle
913,913,low-sodium beef broth,beef,beef
914,914,minced garlic,garlic,garlic
915,915,cumin,cumin,cumin
916,916,chili powder,chili powder,chili powder
917,917,onion,onion,onion
918,918,red bell pepper,bell pepper,bell pepper
919,919,chilies (any variety,chilies (any variety,chilies
920,920,stone ground grits,stone ground grits,stone ground grits
921,921,low sodium chicken (or beef) broth,chicken,chicken
922,922,water,water,water
923,923,half-and-half,half-and-half,half-and-half
924,924,grated cheddar cheese,cheddar cheese,cheddar cheese
925,925,garlic clove,garlic,garlic
926,926,tahini (sesame seed paste),tahini (sesame seed paste),tahini
927,927,fresh lemon juice,lemon juice,lemon juice
928,928,kosher salt,salt,salt
929,929,smoked paprika,paprika,paprika
930,930,tomatoes,tomatoes,tomatoes
931,931,medium onions,onions,onions
932,932,garlic,garlic,garlic
933,933,225ml fl olive oil,olive oil,olive oil
934,934,large bouquet garni,large bouquet garni,large bouquet garni
935,935,star anise,anise,anise
936,936,,,nan
937,937,tomato ketchup,tomato ketchup,tomato ketchup
938,938,heaped coriander seeds,coriander seeds,coriander seeds
939,939,saffron,saffron,saffron
940,940,few drops worcestershire sauce,worcestershire sauce,worcestershire sauce
941,941,55ml fl sherry vinegar,vinegar,vinegar
942,942,a little finely grated lemon,lemon,lemon
943,943,oz. red candy melts,candy,candy
944,944,pink candy melts,candy,candy
945,945,tsp. strawberry or cherry extract,strawberry,strawberry
946,946,oz. good chocolate,chocolate,chocolate
947,947,salted cashews,salted cashews,salted cashews
948,948,dried cherries,cherries,cherries
949,949,valentine sprinkles,valentine sprinkles,valentine sprinkles
950,950,75ml fl double cream,double cream,double cream
951,951,75ml fl milk,milk,milk
952,952,free-range egg yolks,egg,egg
953,953,25g caster sugar,caster sugar,caster sugar
954,954,250g ready-made puff pastry,puff pastry,puff pastry
955,955,250g strawberries,strawberries,strawberries
956,956,free-range egg,egg,egg
957,957,65g ½oz caster sugar,caster sugar,caster sugar
958,958,400g strawberries,strawberries,strawberries
959,959,orange,orange,orange
960,960,200ml fl whipping cream,cream,cream
961,961,50g ½oz caster sugar,caster sugar,caster sugar
962,962,110ml fl chartreuse,110ml fl chartreuse,110ml fl chartreuse
963,963,ounces,ounces,ounces
964,964,olive oil,olive oil,olive oil
965,965,butter,butter,butter
966,966,medium onion,onion,onion
967,967,panko breadcrumbs,breadcrumbs,breadcrumbs
968,968,salt and black pepper to taste,black pepper,black pepper
969,969,ounces,ounces,ounces
970,970,sour cream,sour cream,sour cream
971,971,grated sharp cheddar cheese,cheddar cheese,cheddar cheese
972,972,grated monterey jack or farmer's cheese,monterey jack,monterey jack
973,973,(small) chopped spinach,spinach,spinach
974,974,hot sauce (i used choulula),sauce,sauce
